GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                       
00601	18570	7744	166659789	799296	      64.348	       0.309	 18.180555	 -66.749961                                                                                                                      
00602	41520	18073	79288158	4446273	      30.613	       1.717	 18.362268	 -67.176130                                                                                                                     
00603	54689	25653	81880442	183425	      31.614	       0.071	 18.455183	 -67.119887                                                                                                                      
00606	6615	2877	109580061	12487	      42.309	       0.005	 18.158345	 -66.932911                                                                                                                        
00610	29016	12618	93021467	4172001	      35.916	       1.611	 18.290955	 -67.125868                                                                                                                     
00612	67010	30992	175106243	9809163	      67.609	       3.787	 18.402239	 -66.711400                                                                                                                    
00616	11017	4896	29870473	149147	      11.533	       0.058	 18.420412	 -66.671979                                                                                                                       
00617	24597	10594	39347158	3987969	      15.192	       1.540	 18.445147	 -66.559696                                                                                                                     
00622	7853	8714	75077028	1694917	      28.987	       0.654	 17.991245	 -67.153993                                                                                                                       
00623	43061	21426	98367847	1633540	      37.980	       0.631	 18.083435	 -67.153877                                                                                                                     
00624	26241	9905	111791516	2524878	      43.163	       0.975	 18.063275	 -66.715966                                                                                                                     
00627	35159	14431	120058334	3507026	      46.355	       1.354	 18.415030	 -66.861879                                                                                                                    
00631	1852	842	10414662	669970	       4.021	       0.259	 18.190607	 -66.832041                                                                                                                         
00637	25287	10962	89226022	25323	      34.450	       0.010	 18.076713	 -66.947389                                                                                                                       
00638	18941	7805	171055117	493335	      66.045	       0.190	 18.291088	 -66.513306                                                                                                                      
00641	31191	13358	242237480	3466212	      93.528	       1.338	 18.262962	 -66.714020                                                                                                                    
00646	38199	16699	53611823	3321248	      20.700	       1.282	 18.433167	 -66.285941                                                                                                                     
00647	6172	3482	39379804	8013314	      15.205	       3.094	 17.963613	 -66.947127                                                                                                                       
00650	14998	6124	79052810	557181	      30.522	       0.215	 18.349416	 -66.578079                                                                                                                       
00652	4715	1947	17906137	16436	       6.914	       0.006	 18.451934	 -66.603113                                                                                                                         
00653	13307	6217	39477273	5203941	      15.242	       2.009	 17.985452	 -66.888933                                                                                                                      
00656	21481	8680	83968290	4356121	      32.420	       1.682	 18.053539	 -66.792931                                                                                                                      
00659	41953	17365	108211415	3039180	      41.781	       1.173	 18.407222	 -66.809008                                                                                                                    
00660	17250	7783	29380814	486	      11.344	       0.000	 18.134644	 -67.116158                                                                                                                          
00662	43282	20199	114907988	5341043	      44.366	       2.062	 18.467481	 -67.015974                                                                                                                    
00664	16784	6590	117897373	3405	      45.520	       0.001	 18.213419	 -66.589613                                                                                                                        
00667	25968	12508	156201164	28264208	      60.310	      10.913	 18.003422	 -67.035810                                                                                                                   
00669	29744	12458	159419203	168344	      61.552	       0.065	 18.270899	 -66.866375                                                                                                                     
00670	9807	3973	118025360	357819	      45.570	       0.138	 18.236832	 -66.990114                                                                                                                       
00674	44457	19409	116400264	6903390	      44.942	       2.665	 18.422908	 -66.489337                                                                                                                    
00676	40316	16887	130636635	56483	      50.439	       0.022	 18.377751	 -67.080344                                                                                                                      
00677	15272	9730	37137111	3594951	      14.339	       1.388	 18.332560	 -67.227006                                                                                                                      
00678	27819	11619	68274095	3796687	      26.361	       1.466	 18.434099	 -66.927384                                                                                                                     
00680	58140	27992	166248984	19828643	      64.189	       7.656	 18.181938	 -67.133802                                                                                                                   
00682	32615	15489	37348163	6330100	      14.420	       2.444	 18.221443	 -67.156062                                                                                                                     
00683	33772	15219	135168308	29361	      52.189	       0.011	 18.107800	 -67.037263                                                                                                                      
00685	42831	18877	200808224	2058239	      77.532	       0.795	 18.332927	 -66.959875                                                                                                                    
00687	32610	12381	100675764	140026	      38.871	       0.054	 18.318386	 -66.418034                                                                                                                     
00688	13543	5353	82401202	77467	      31.815	       0.030	 18.382264	 -66.626438                                                                                                                        
00690	6255	2773	7291346	12393	       2.815	       0.005	 18.495510	 -67.098671                                                                                                                          
00692	37511	16026	69307906	1999296	      26.760	       0.772	 18.410188	 -66.336556                                                                                                                     
00693	61038	25884	101838924	3653903	      39.320	       1.411	 18.423024	 -66.397230                                                                                                                    
00694	328	188	2043548	1957116	       0.789	       0.756	 18.482370	 -66.391079                                                                                                                          
00698	41782	17924	180309254	7761848	      69.618	       2.997	 18.064848	 -66.856319                                                                                                                    
00703	28605	11417	76855070	28384	      29.674	       0.011	 18.248401	 -66.130662                                                                                                                       
00704	8577	3871	12627769	1773833	       4.876	       0.685	 17.965770	 -66.219555                                                                                                                       
00705	25598	10297	82748292	72306	      31.949	       0.028	 18.128961	 -66.266683                                                                                                                       
00707	12225	5546	54561503	3816670	      21.066	       1.474	 18.013648	 -65.920712                                                                                                                      
00714	19566	8871	37859151	42765	      14.618	       0.017	 18.000198	 -66.042943                                                                                                                        
00715	3656	1532	20434129	150234	       7.890	       0.058	 18.011233	 -66.560065                                                                                                                        
00716	33779	14275	22081777	7967534	       8.526	       3.076	 17.990567	 -66.607542                                                                                                                     
00717	18457	9518	5417561	109099	       2.092	       0.042	 18.003222	 -66.614037                                                                                                                        
00718	26606	11970	117172329	3457285	      45.240	       1.335	 18.231988	 -65.759623                                                                                                                    
00719	30990	11496	72527843	898356	      28.003	       0.347	 18.289927	 -66.253440                                                                                                                      
00720	23129	9059	154368018	286519	      59.602	       0.111	 18.217946	 -66.428076                                                                                                                      
00723	19277	9358	119554076	1319657	      46.160	       0.510	 18.043822	 -66.015578                                                                                                                     
00725	89374	38678	109190812	1190612	      42.159	       0.460	 18.218819	 -66.042375                                                                                                                    
00727	58382	23679	55827071	26963	      21.555	       0.010	 18.215308	 -66.073565                                                                                                                       
00728	44908	16698	40524719	21618806	      15.647	       8.347	 17.989853	 -66.664116                                                                                                                    
00729	53750	21688	87958918	364682	      33.961	       0.141	 18.329829	 -65.885142                                                                                                                      
00730	35742	16253	16850026	123834	       6.506	       0.048	 18.030831	 -66.616838                                                                                                                      
00731	15524	5962	123332268	3082106	      47.619	       1.190	 18.108039	 -66.634653                                                                                                                     
00735	13730	7749	60362550	1842364	      23.306	       0.711	 18.252604	 -65.682494                                                                                                                      
00736	51532	22315	142701655	79564	      55.097	       0.031	 18.103624	 -66.151667                                                                                                                      
00738	34922	18383	76243980	78712514	      29.438	      30.391	 18.304458	 -65.698711                                                                                                                    
00739	39678	15565	81792808	1113746	      31.580	       0.430	 18.177265	 -66.160577                                                                                                                     
00740	2071	1008	1103423	40886	       0.426	       0.016	 18.331160	 -65.634120                                                                                                                          
00741	4971	2196	6121151	2792707	       2.363	       1.078	 18.163745	 -65.754021                                                                                                                        
00745	55062	24529	133676216	6155023	      51.613	       2.376	 18.352840	 -65.817813                                                                                                                    
00751	23129	10808	121664561	29378177	      46.975	      11.343	 18.001317	 -66.252183                                                                                                                   
00754	40828	17146	132164302	241740	      51.029	       0.093	 18.147130	 -65.976289                                                                                                                     
00757	23263	9571	77246859	5609947	      29.825	       2.166	 17.995441	 -66.391334                                                                                                                      
00765	9098	5339	49309561	1749411	      19.039	       0.675	 18.130096	 -65.439369                                                                                                                       
00766	26488	9947	103701762	3739022	      40.039	       1.444	 18.133196	 -66.476916                                                                                                                     
00767	38019	15831	143501366	6805011	      55.406	       2.627	 18.069413	 -65.896490                                                                                                                    
00769	40248	16612	198168393	38999	      76.513	       0.015	 18.103800	 -66.357586                                                                                                                      
00771	38394	16142	87591047	32514	      33.819	       0.013	 18.187201	 -65.871196                                                                                                                       
00772	23105	10211	37975532	13639704	      14.662	       5.266	 18.438969	 -65.905174                                                                                                                    
00773	20068	10968	62964008	2572484	      24.311	       0.993	 18.343799	 -65.726378                                                                                                                     
00775	1786	1569	27344697	33437932	      10.558	      12.910	 18.327485	 -65.295977                                                                                                                      
00777	40684	16867	68844419	327723	      26.581	       0.127	 18.224133	 -65.908542                                                                                                                      
00778	45429	18127	76776403	1116806	      29.644	       0.431	 18.263023	 -65.979078                                                                                                                     
00780	13800	5295	52032587	838321	      20.090	       0.324	 18.102834	 -66.568105                                                                                                                       
00782	19304	7535	69008763	319734	      26.644	       0.123	 18.225708	 -66.221633                                                                                                                       
00783	36557	13798	108382318	16292	      41.847	       0.006	 18.303910	 -66.326179                                                                                                                      
00784	44637	19159	143887987	16278766	      55.555	       6.285	 18.010721	 -66.133613                                                                                                                   
00786	357	145	666250	0	       0.257	       0.000	 18.155424	 -66.229907                                                                                                                                 
00791	53417	25871	95711037	2868576	      36.954	       1.108	 18.136752	 -65.821487                                                                                                                     
00794	30585	11502	91419799	77809	      35.297	       0.030	 18.199014	 -66.309782                                                                                                                       
00795	48736	19196	119811901	958123	      46.260	       0.370	 18.060532	 -66.499473                                                                                                                     
00901	7080	4990	2534091	30548	       0.978	       0.012	 18.465424	 -66.104723                                                                                                                          
00906	4	168	8247	0	       0.003	       0.000	 18.464460	 -66.094995                                                                                                                                     
00907	17458	13224	3132947	347421	       1.210	       0.134	 18.452679	 -66.078113                                                                                                                       
00909	6230	3805	1575598	49304	       0.608	       0.019	 18.441610	 -66.067132                                                                                                                          
00911	8623	6096	1245504	0	       0.481	       0.000	 18.451128	 -66.056223                                                                                                                              
00912	6801	3884	854044	0	       0.330	       0.000	 18.445289	 -66.060139                                                                                                                               
00913	9312	4065	843188	0	       0.326	       0.000	 18.449970	 -66.042664                                                                                                                               
00915	32820	16538	3601480	820884	       1.391	       0.317	 18.437179	 -66.045571                                                                                                                       
00917	21053	12348	3360017	46991	       1.297	       0.018	 18.420674	 -66.050105                                                                                                                        
00918	18056	10850	5520556	101247	       2.131	       0.039	 18.421022	 -66.065789                                                                                                                       
00920	17893	9322	7331380	135936	       2.831	       0.052	 18.414292	 -66.088042                                                                                                                        
00921	37763	17728	6931388	0	       2.676	       0.000	 18.392273	 -66.088552                                                                                                                            
00923	29086	13969	5283986	7303	       2.040	       0.003	 18.409307	 -66.038888                                                                                                                         
00924	56691	24971	12143485	1620	       4.689	       0.001	 18.399196	 -66.012452                                                                                                                        
00925	8696	5413	1158082	0	       0.447	       0.000	 18.400296	 -66.050602                                                                                                                              
00926	108862	47317	62575083	1052384	      24.160	       0.406	 18.345400	 -66.051545                                                                                                                    
00927	14936	7893	6804165	5831	       2.627	       0.002	 18.387953	 -66.072098                                                                                                                          
00934	288	140	1940428	26786	       0.749	       0.010	 18.411313	 -66.124234                                                                                                                            
00936	681	4	417955	0	       0.161	       0.000	 18.395463	 -66.073772                                                                                                                                   
00949	82278	33340	45604190	2130451	      17.608	       0.823	 18.430696	 -66.212833                                                                                                                     
00950	9	5	6204986	1989345	       2.396	       0.768	 18.463692	 -66.234559                                                                                                                              
00951	35	19	1075640	29541	       0.415	       0.011	 18.427530	 -66.253789                                                                                                                              
00952	10008	4169	3207681	0	       1.238	       0.000	 18.427441	 -66.182032                                                                                                                             
00953	73014	26609	69144842	1365378	      26.697	       0.527	 18.360727	 -66.251526                                                                                                                     
00956	79304	32550	68564483	215310	      26.473	       0.083	 18.319539	 -66.168891                                                                                                                      
00957	45680	18275	11965797	1407	       4.620	       0.001	 18.368533	 -66.187693                                                                                                                        
00959	50560	22445	16609667	81790	       6.413	       0.032	 18.388924	 -66.154999                                                                                                                       
00960	1779	0	2409664	2485	       0.930	       0.001	 18.416919	 -66.145795                                                                                                                              
00961	32429	13394	13367398	205470	       5.161	       0.079	 18.412230	 -66.165168                                                                                                                      
00962	22491	8939	9876249	1152266	       3.813	       0.445	 18.442299	 -66.145357                                                                                                                       
00965	9134	3848	1689483	342594	       0.652	       0.132	 18.433757	 -66.114752                                                                                                                         
00966	16676	7894	8401213	4490	       3.244	       0.002	 18.401536	 -66.117584                                                                                                                          
00968	3478	2228	1180763	0	       0.456	       0.000	 18.406077	 -66.101223                                                                                                                              
00969	42219	17775	12622328	39797	       4.874	       0.015	 18.368062	 -66.108062                                                                                                                       
00971	30986	12895	41324409	94183	      15.955	       0.036	 18.318832	 -66.119215                                                                                                                       
00976	65136	26564	43356810	738172	      16.740	       0.285	 18.336408	 -65.994057                                                                                                                      
00979	17030	12765	4061150	504754	       1.568	       0.195	 18.444389	 -66.030129                                                                                                                       
00982	16428	7402	3654231	19111	       1.411	       0.007	 18.411261	 -65.992045                                                                                                                         
00983	39234	16985	8987630	622892	       3.470	       0.240	 18.418007	 -65.977070                                                                                                                       
00985	36553	15241	21083058	759741	       8.140	       0.293	 18.408588	 -65.946933                                                                                                                      
00987	63661	25557	64272333	453240	      24.816	       0.175	 18.338161	 -65.941083                                                                                                                      
01001	16769	7557	29635470	2229770	      11.442	       0.861	 42.062332	 -72.628274                                                                                                                      
01002	29049	10388	142556362	4280260	      55.041	       1.653	 42.363977	 -72.458507                                                                                                                    
01003	10372	5	1842384	12788	       0.711	       0.005	 42.389941	 -72.524108                                                                                                                            
01005	5079	2044	114586903	667042	      44.242	       0.258	 42.418848	 -72.106598                                                                                                                       
01007	14649	5839	136345999	6943853	      52.643	       2.681	 42.279010	 -72.400468                                                                                                                     
01008	1263	586	139331467	5086093	      53.796	       1.964	 42.191846	 -72.957325                                                                                                                       
01009	741	341	2065002	23	       0.797	       0.000	 42.211969	 -72.341433                                                                                                                               
01010	3609	1598	89982811	1420260	      34.743	       0.548	 42.129477	 -72.205302                                                                                                                       
01011	1370	659	81884563	342573	      31.616	       0.132	 42.300281	 -72.968716                                                                                                                         
01012	661	343	33977749	545075	      13.119	       0.210	 42.375425	 -72.858192                                                                                                                          
01013	23188	10246	14567022	1731910	       5.624	       0.669	 42.154904	 -72.602804                                                                                                                     
01020	29668	13688	32308345	1178303	      12.474	       0.455	 42.172698	 -72.561835                                                                                                                     
01022	2451	1209	12322151	2118	       4.758	       0.001	 42.197741	 -72.542713                                                                                                                          
01026	946	513	62170236	332515	      24.004	       0.128	 42.465495	 -72.918267                                                                                                                          
01027	17660	8311	104896540	1189669	      40.501	       0.459	 42.295008	 -72.751877                                                                                                                     
01028	15720	6106	33686035	181933	      13.006	       0.070	 42.059614	 -72.501234                                                                                                                       
01029	789	1078	41047358	5315012	      15.848	       2.052	 42.193395	 -73.044647                                                                                                                        
01030	11669	4582	30736637	469718	      11.867	       0.181	 42.072925	 -72.686972                                                                                                                       
01031	1308	596	20959213	0	       8.092	       0.000	 42.329398	 -72.198190                                                                                                                              
01032	570	363	30481491	887372	      11.769	       0.343	 42.457613	 -72.814780                                                                                                                          
01033	6227	2454	72068288	667254	      27.826	       0.258	 42.244958	 -72.500034                                                                                                                        
01034	2021	1145	185271061	5014353	      71.534	       1.936	 42.098207	 -72.961272                                                                                                                      
01035	5250	2230	59791827	3939738	      23.086	       1.521	 42.356482	 -72.568576                                                                                                                       
01036	5109	1937	50521716	105963	      19.507	       0.041	 42.062946	 -72.417297                                                                                                                        
01037	838	253	34391428	235915	      13.279	       0.091	 42.367961	 -72.188710                                                                                                                          
01038	2545	1181	25893889	2245685	       9.998	       0.867	 42.385496	 -72.606929                                                                                                                       
01039	1336	640	34206722	595533	      13.207	       0.230	 42.404278	 -72.688922                                                                                                                         
01040	39880	16384	55116741	4025645	      21.281	       1.554	 42.211656	 -72.642448                                                                                                                     
01050	2530	1167	99270932	2581121	      38.329	       0.997	 42.286750	 -72.869693                                                                                                                       
01053	1685	636	13289904	251888	       5.131	       0.097	 42.356301	 -72.713584                                                                                                                         
01054	1851	811	59071058	425618	      22.807	       0.164	 42.469588	 -72.484502                                                                                                                         
01056	21103	8383	70460584	2836425	      27.205	       1.095	 42.188865	 -72.459078                                                                                                                      
01057	8534	3470	116307957	1607537	      44.907	       0.621	 42.093596	 -72.321494                                                                                                                      
01060	15284	7307	28276974	3261695	      10.918	       1.259	 42.321488	 -72.630588                                                                                                                      
01062	11150	4784	47018995	396854	      18.154	       0.153	 42.328314	 -72.703923                                                                                                                       
01063	430	1	100502	0	       0.039	       0.000	 42.318882	 -72.638530                                                                                                                                   
01066	64	25	1839260	121053	       0.710	       0.047	 42.406903	 -72.655018                                                                                                                             
01068	1902	711	53949370	1008115	      20.830	       0.389	 42.350862	 -72.044248                                                                                                                        
01069	8469	3779	72688936	766584	      28.065	       0.296	 42.187794	 -72.308469                                                                                                                        
01070	629	320	53200760	594033	      20.541	       0.229	 42.518446	 -72.919017                                                                                                                          
01071	1596	638	40349276	803435	      15.579	       0.310	 42.160060	 -72.873853                                                                                                                         
01072	1478	748	52021993	1342210	      20.086	       0.518	 42.456968	 -72.417244                                                                                                                        
01073	5792	2337	72913678	2077741	      28.152	       0.802	 42.226949	 -72.741588                                                                                                                       
01074	319	132	220752	52379	       0.085	       0.020	 42.387603	 -72.093230                                                                                                                             
01075	17527	7162	45888980	1773571	      17.718	       0.685	 42.256346	 -72.580763                                                                                                                      
01077	9502	3916	79825932	2153492	      30.821	       0.831	 42.052570	 -72.777353                                                                                                                       
01079	692	325	2921898	108238	       1.128	       0.042	 42.197424	 -72.327020                                                                                                                           
01080	2334	1093	4473453	258220	       1.727	       0.100	 42.182218	 -72.365654                                                                                                                         
01081	1698	820	37544477	568325	      14.496	       0.219	 42.061313	 -72.234411                                                                                                                         
01082	10322	4768	119411357	16183211	      46.105	       6.248	 42.293533	 -72.278599                                                                                                                    
01083	2888	1270	40871193	156824	      15.780	       0.061	 42.203642	 -72.194599                                                                                                                        
01084	176	88	23821014	222863	       9.197	       0.086	 42.392370	 -72.882235                                                                                                                           
01085	41117	16363	155258467	2964576	      59.946	       1.145	 42.153503	 -72.771602                                                                                                                    
01086	687	0	96152	0	       0.037	       0.000	 42.130446	 -72.793967                                                                                                                                    
01088	670	357	13468904	36984	       5.200	       0.014	 42.391709	 -72.646494                                                                                                                           
01089	28391	12697	43286505	2094117	      16.713	       0.809	 42.125451	 -72.649734                                                                                                                     
01092	1394	591	17359776	80681	       6.703	       0.031	 42.191868	 -72.235108                                                                                                                          
01093	325	156	13063805	16741	       5.044	       0.006	 42.435121	 -72.654963                                                                                                                           
01094	351	171	2942290	169907	       1.136	       0.066	 42.359108	 -72.136800                                                                                                                           
01095	14319	5535	58570047	581247	      22.614	       0.224	 42.127327	 -72.427404                                                                                                                       
01096	2217	1029	82059161	532858	      31.683	       0.206	 42.397140	 -72.763572                                                                                                                        
01097	111	40	4426154	208868	       1.709	       0.081	 42.178038	 -72.832612                                                                                                                            
01098	1101	610	81200703	384439	      31.352	       0.148	 42.394315	 -72.943115                                                                                                                         
01103	2479	1661	1191989	205067	       0.460	       0.079	 42.104106	 -72.592027                                                                                                                         
01104	22865	9381	13509560	212850	       5.216	       0.082	 42.134009	 -72.565378                                                                                                                       
01105	12350	5586	3219040	306964	       1.243	       0.119	 42.095207	 -72.577579                                                                                                                        
01106	16021	6107	24090566	1331605	       9.301	       0.514	 42.047565	 -72.571130                                                                                                                      
01107	11611	4252	3903756	89142	       1.507	       0.034	 42.121060	 -72.607068                                                                                                                         
01108	26688	10992	9643254	406401	       3.723	       0.157	 42.080692	 -72.560791                                                                                                                       
01109	30250	10818	14094949	487865	       5.442	       0.188	 42.119674	 -72.549726                                                                                                                      
01118	14071	5911	9312203	260877	       3.595	       0.101	 42.093732	 -72.525905                                                                                                                        
01119	14152	5185	9194297	241739	       3.550	       0.093	 42.124978	 -72.511210                                                                                                                        
01128	2631	1077	2892857	1287	       1.117	       0.000	 42.092296	 -72.489135                                                                                                                           
01129	7019	2982	8867992	237886	       3.424	       0.092	 42.119062	 -72.487401                                                                                                                         
01151	8698	3699	6134290	464565	       2.368	       0.179	 42.151860	 -72.509131                                                                                                                         
01199	0	0	28277	0	       0.011	       0.000	 42.120563	 -72.604468                                                                                                                                      
01201	46504	22443	137058017	6752938	      52.918	       2.607	 42.448236	 -73.273727                                                                                                                    
01220	8603	4434	63689337	204142	      24.591	       0.079	 42.623799	 -73.116736                                                                                                                        
01222	829	361	8565484	333235	       3.307	       0.129	 42.058703	 -73.322175                                                                                                                           
01223	2314	1986	180653860	5294145	      69.751	       2.044	 42.312225	 -73.110124                                                                                                                      
01224	182	81	720507	82246	       0.278	       0.032	 42.513356	 -73.195594                                                                                                                              
01225	3117	1466	65025449	1821072	      25.106	       0.703	 42.563363	 -73.153566                                                                                                                       
01226	6945	2993	68319649	366617	      26.378	       0.142	 42.481119	 -73.135073                                                                                                                        
01229	95	61	1897309	1745	       0.733	       0.001	 42.276338	 -73.335896                                                                                                                               
01230	8430	4633	237032746	4530189	      91.519	       1.749	 42.172941	 -73.324463                                                                                                                      
01235	2766	1507	118213863	2794609	      45.643	       1.079	 42.430620	 -73.064073                                                                                                                      
01236	1509	784	12437975	157895	       4.802	       0.061	 42.266496	 -73.378393                                                                                                                         
01237	2496	1334	160121626	1140685	      61.823	       0.440	 42.547818	 -73.268033                                                                                                                      
01238	6047	3155	90217712	2706357	      34.833	       1.045	 42.297501	 -73.230148                                                                                                                       
01240	4534	2920	55374233	1159162	      21.380	       0.448	 42.367862	 -73.269768                                                                                                                       
01242	476	214	1288423	24934	       0.497	       0.010	 42.333734	 -73.249199                                                                                                                            
01243	334	188	48306686	57277	      18.651	       0.022	 42.350122	 -73.024112                                                                                                                           
