GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                       
22201	33476	18985	6058557	0	       2.339	       0.000	 38.886566	 -77.095250                                                                                                                            
22202	22543	15278	10024542	237813	       3.870	       0.092	 38.856835	 -77.051484                                                                                                                      
22203	21850	12018	3973848	0	       1.534	       0.000	 38.873692	 -77.117340                                                                                                                            
22204	47233	21078	10647712	0	       4.111	       0.000	 38.860785	 -77.098984                                                                                                                           
22205	17087	6628	7009397	0	       2.706	       0.000	 38.883513	 -77.139524                                                                                                                             
22206	19051	10689	5303722	5728	       2.048	       0.002	 38.843917	 -77.089408                                                                                                                         
22207	30920	11729	16704065	3491	       6.449	       0.001	 38.906665	 -77.124238                                                                                                                        
22209	12314	7975	1553657	0	       0.600	       0.000	 38.895023	 -77.075463                                                                                                                             
22211	648	61	4533967	0	       1.751	       0.000	 38.880097	 -77.070768                                                                                                                                 
22213	2936	1231	1475803	0	       0.570	       0.000	 38.895203	 -77.162457                                                                                                                              
22214	0	0	105452	0	       0.041	       0.000	 38.868808	 -77.073946                                                                                                                                     
22301	11162	5017	3606878	0	       1.393	       0.000	 38.819853	 -77.059645                                                                                                                             
22302	16485	8935	5819967	6251	       2.247	       0.002	 38.827888	 -77.083132                                                                                                                          
22303	12601	6858	3773866	112661	       1.457	       0.043	 38.794380	 -77.078837                                                                                                                        
22304	44300	22966	12000790	237133	       4.634	       0.092	 38.813140	 -77.112126                                                                                                                      
22305	15440	6863	3497411	168639	       1.350	       0.065	 38.836508	 -77.062140                                                                                                                        
22306	32326	12312	18763296	194128	       7.245	       0.075	 38.755748	 -77.097783                                                                                                                      
22307	9581	4655	7472846	2298566	       2.885	       0.887	 38.771982	 -77.057273                                                                                                                        
