
start_station_name,Number_trips
San Francisco Caltrain (Townsend at 4th),44524
San Francisco Caltrain 2 (330 Townsend),33837
Harry Bridges Plaza (Ferry Building),22123
Temporary Transbay Terminal (Howard at Beale),21633
Steuart at Market,16282
