
end_station_name,Number_trips
San Francisco Caltrain (Townsend at 4th),51150
San Francisco Caltrain 2 (330 Townsend),34721
Harry Bridges Plaza (Ferry Building),19448
Temporary Transbay Terminal (Howard at Beale),16753
Steuart at Market,16365
