Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
06/16/2020,08/21/2020,06/26/2020,"GEP Administrative Services, Inc. dba Entertainment Partners",Burbank,Los Angeles County,23,Layoff Permanent
06/16/2020,08/21/2020,06/26/2020,"GEP Administrative Services, Inc. dba Entertainment Partners",Burbank,Los Angeles County,55,Layoff Temporary
06/12/2020,06/15/2020,06/26/2020,"Hillphoenix dba Anthony, Inc.",Sylmar,Los Angeles County,374,Layoff Temporary
06/12/2020,06/15/2020,06/26/2020,"Trend Offset Printing Services, Inc.",Maywood,Los Angeles County,88,Layoff Permanent
04/06/2020,03/17/2020,06/26/2020,Rowtown Inc. dba The Fish Hopper Restaurant,Monterey,Monterey County,117,Layoff Temporary
04/06/2020,04/06/2020,06/26/2020,Hoag Memorial Hospital Presbyterian,Newport Beach,Orange County,187,Layoff Temporary
04/03/2020,04/02/2020,06/26/2020,"Tropitone Furniture Company, Inc.",Irvine,Orange County,74,Layoff Permanent
06/26/2020,06/30/2020,06/26/2020,P.F. Chang&rsquo;s China Bistro,Sacramento,Sacramento County,55,Closure Permanent
05/07/2020,03/23/2020,06/26/2020,JC Resorts,La Jolla,San Diego County,528,Layoff Temporary
06/12/2020,06/11/2020,06/26/2020,BiRite Foodservice Distributors,Brisbane,San Mateo County,43,Layoff Permanent
04/06/2020,04/13/2020,06/26/2020,nVent Thermal LLC,Redwood City,San Mateo County,67,Layoff Temporary
04/14/2020,03/30/2020,06/26/2020,"CorePower Yoga, LLC dba CorePower Yoga",Palo Alto,Santa Clara County,187,Layoff Temporary
04/14/2020,03/30/2020,06/26/2020,"CorePower Yoga, LLC dba CorePower Yoga",San Jose,Santa Clara County,243,Layoff Temporary
04/03/2020,03/16/2020,06/26/2020,Maria's Holding Corp. dba Maria's Italian Kitchen Inc.,Oxnard,Ventura County,37,Closure Permanent
04/10/2020,04/19/2020,06/26/2020,Rapid Displays Inc.,Union City,Alameda County,282,Layoff Temporary
06/16/2020,05/08/2020,06/26/2020,Universal Content Production,Los Angeles,Los Angeles County,3,Layoff Permanent
06/17/2020,03/13/2020,06/26/2020,"ELIZA TOUR, LLC",Los Angeles,Los Angeles County,51,Closure Temporary
06/24/2020,08/25/2020,06/26/2020,Raley's DBA Food Source,Sacramento,Sacramento County,101,Closure Permanent
06/24/2020,06/16/2020,06/26/2020,American Conservatory Theatre Foundation,San Francisco,San Francisco County,15,Layoff Permanent
06/26/2020,08/31/2020,06/26/2020,Akima Infrastructure Services (AIS),Livermore,Alameda County,499,Layoff Permanent
04/14/2020,04/01/2020,06/26/2020,"St. John Knits, Inc.",Irvine,Orange County,276,Layoff Temporary
06/09/2020,06/07/2020,06/25/2020,Bay Club Pleasanton,Pleasanton,Alameda County,255,Layoff Permanent
06/12/2020,06/16/2020,06/25/2020,True World Foods San Francisco LLC,San Leandro,Alameda County,27,Layoff Permanent
04/08/2020,06/08/2020,06/25/2020,Adventist Health Tehachapi Valley,Tehachapi,Kern County,1,Layoff Permanent
04/14/2020,04/13/2020,06/25/2020,Centric Brands Inc.,Los Angeles,Los Angeles County,31,Layoff Temporary
06/16/2020,08/21/2020,06/25/2020,"GEP Administrative Services, Inc. dba Entertainment Partners",Burbank,Los Angeles County,30,Layoff Temporary
06/15/2020,06/30/2020,06/25/2020,AEG LA Youth Soccer Academy LLC,Carson,Los Angeles County,3,Layoff Temporary
06/22/2020,06/22/2020,06/25/2020,Hyatt Regency Lomg Beach,Long Beach,Los Angeles County,35,Layoff Permanent
06/11/2020,06/11/2020,06/25/2020,"Waddington North America, Inc.",City of Industry,Los Angeles County,70,Layoff Permanent
06/09/2020,06/07/2020,06/25/2020,Bay Club Pacific Palisades,Pacific Palisades,Los Angeles County,67,Layoff Permanent
06/09/2020,06/07/2020,06/25/2020,Bay Club Marin,Corte Madera,Marin County,142,Layoff Permanent
04/11/2020,04/14/2020,06/25/2020,AIO Acquisition Inc.,Ontario,San Bernardino County,2,Layoff Permanent
06/18/2020,06/29/2020,06/25/2020,Hartwell Corporation,Rancho Cucamonga,San Bernardino County,57,Layoff Temporary
06/22/2020,06/18/2020,06/25/2020,Hyatt Corporation dba Hyatt Regency La Jolla,San Diego,San Diego County,126,Layoff Permanent
06/12/2020,06/12/2020,06/25/2020,GKN Aerospace Chem-tronics Inc.,El Cajon,San Diego County,77,Layoff Permanent
05/14/2020,05/15/2020,06/25/2020,"Carey Dispatch Services, Inc.",South San Francisco,San Mateo County,15,Layoff Permanent
06/22/2020,08/21/2020,06/25/2020,Intuit Inc.,Mountain View,Santa Clara County,189,Layoff Permanent
06/18/2020,07/01/2020,06/25/2020,Bon App&eacute;tit,Sunnyvale,Santa Clara County,261,Layoff Permanent
06/16/2020,08/21/2020,06/25/2020,Elyxir Distributing LLC,Watsonville,Santa Cruz County,113,Closure Permanent
06/15/2020,08/18/2020,06/25/2020,"Renaissance Hotel Mgmt Co, LLC dba The Lodge at Sonoma",Sonoma,Sonoma County,157,Layoff Permanent
06/19/2020,08/22/2020,06/25/2020,"Raiders Football Club, LLC",Alameda,Alameda County,492,Closure Permanent
06/04/2020,03/20/2020,06/25/2020,FreshPoint Southern California Inc.,La Puente,Los Angeles County,152,Layoff Permanent
06/16/2020,05/08/2020,06/25/2020,Universal Content Productions LLC,Universal City,Los Angeles County,46,Layoff Permanent
06/16/2020,05/08/2020,06/25/2020,Universal Television LLC,Studio City,Los Angeles County,5,Layoff Permanent
06/16/2020,05/08/2020,06/25/2020,Universal Television LLC,Universal City,Los Angeles County,50,Layoff Temporary
06/16/2020,06/12/2020,06/25/2020,Pasadena Symphony Association,Pasadena,Los Angeles County,68,Layoff Temporary
06/16/2020,08/17/2020,06/25/2020,Orora Visual LLC.,Los Angeles,Los Angeles County,32,Layoff Permanent
06/11/2020,06/12/2020,06/25/2020,SAN DIEGO CONVENTION CENTER CORPORATION,San Diego,San Diego County,23,Layoff Permanent
06/19/2020,06/21/2020,06/25/2020,HomeState Hospitalities LLC dba HomeState,Los Angeles,Los Angeles County,13,Closure Unknown at this time
04/13/2020,04/13/2020,06/25/2020,"Pacific Dental Services, LLC",Irvine,Orange County,94,Layoff Temporary
06/15/2020,08/21/2020,06/25/2020,"Decore-ative Specialties, Inc.",Elk Grove,Sacramento County,133,Closure Permanent
05/27/2020,04/23/2020,06/25/2020,"Spectrum Assembly, Inc.",Carlsbad,San Diego County,82,Layoff Temporary
06/15/2020,06/30/2020,06/25/2020,Sodexo dba Artisan Restaurant Collection at LinkedIn,San Francisco,San Francisco County,52,Layoff Permanent
06/16/2020,08/31/2020,06/25/2020,Central Valley Training Center - Another Way Program,Stockton,San Joaquin County,18,Layoff Permanent
06/15/2020,06/15/2020,06/25/2020,All About Parking,Palo Alto,Santa Clara County,23,Layoff Permanent
06/15/2020,06/15/2020,06/25/2020,All About Parking,San Jose,Santa Clara County,11,Layoff Permanent
04/03/2020,04/04/2020,06/25/2020,Club Demonstration Services,Oxnard,Ventura County,132,Layoff Unknown at this time
04/03/2020,04/04/2020,06/25/2020,"Club Demonstration Services, Inc.",Woodland,Yolo County,26,Layoff Unknown at this time
06/09/2020,06/07/2020,06/24/2020,Bay Club Fremont,Fremont,Alameda County,197,Layoff Permanent
03/31/2020,03/31/2020,06/24/2020,"La Verne Fitness, LLC",La Verne,Los Angeles County,57,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,"Lakewood Fitness, LLC",Lakewood,Los Angeles County,89,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,Lancaster Fitness LLC,Lancaster,Los Angeles County,38,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,Long Beach Fitness LLC,Long Beach,Los Angeles County,87,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,San Dimas Fitness LLC,San Dimas,Los Angeles County,53,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,"Van Nuys Fitness, LLC",Van Nuys,Los Angeles County,40,Layoff Temporary
06/09/2020,06/07/2020,06/24/2020,Manhattan Country Club,Manhattan Beach,Los Angeles County,167,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club El Segundo,El Segundo,Los Angeles County,213,Layoff Permanent
05/29/2020,05/30/2020,06/24/2020,"CSU Northridge, University Student Union",Northridge,Los Angeles County,137,Closure Temporary
03/31/2020,03/31/2020,06/24/2020,SAS Restaurant Ventures DBA Denny's,Barstow,San Bernardino County,1,Closure Permanent
06/05/2020,04/18/2020,06/24/2020,Borrego Community Health Foundation,El Cajon,San Diego County,28,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Fairbanks Ranch Country Club,Rancho Santa Fe,San Diego County,127,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club Carmel Valley,San Diego,San Diego County,239,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club Financial District,San Francisco,San Francisco County,28,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,The Bay Club Company,Burlingame,San Mateo County,7,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Boulder Ridge Golf Club,San Jose,Santa Clara County,34,Layoff Permanent
06/09/2020,06/07/2020,06/24/2020,Bay Club Courtside,Los Gatos,Santa Clara County,294,Layoff Permanent
04/21/2020,03/18/2020,06/24/2020,North East Medical Services,San Jose,Santa Clara County,38,Layoff Temporary
06/03/2020,03/29/2020,06/24/2020,"Godiva Chocolatier, Inc",Camarillo,Ventura County,11,Layoff Temporary
06/11/2020,06/30/2020,06/24/2020,Sofitel Hotels and Resorts,Los Angeles,Los Angeles County,215,Layoff Permanent
04/08/2020,03/29/2020,06/24/2020,"F21 OpCo, LLC - Forever 21",Los Angeles,Los Angeles County,294,Layoff Temporary
03/31/2020,03/31/2020,06/24/2020,"Robert A. Smith, Inc. (BMW, and Volvo)",Calabasas,Los Angeles County,55,Layoff Temporary
06/09/2020,04/04/2020,06/24/2020,"iHeartMedia + Entertainment, Inc. and iHeartMedia Management
Services, Inc.",San Francisco,San Francisco County,42,Layoff Temporary
06/12/2020,06/15/2020,06/23/2020,"Anthony, Inc.",Sylmar,Los Angeles County,474,Layoff Temporary
06/11/2020,06/12/2020,06/23/2020,Connected Apparel Company LLC,Commerce,Los Angeles County,32,Layoff Unknown at this time
05/06/2020,04/16/2020,06/23/2020,Pico Cleaners,Los Angeles,Los Angeles County,53,Layoff Temporary
05/06/2020,04/16/2020,06/23/2020,Pico Valet,Culver City,Los Angeles County,91,Layoff Temporary
06/11/2020,03/18/2020,06/23/2020,Scalzo Hospitality dba Park View Inn and Cold Stone Creamery,Anaheim,Orange County,37,Layoff Temporary
06/11/2020,03/18/2020,06/23/2020,Scalzo Hospitality dba Park Vue Inn & Cold Stone Creamery,Anaheim,Orange County,37,Layoff Temporary
06/05/2020,04/11/2020,06/23/2020,Borrego Community Health Foundation,Escondido,San Diego County,23,Layoff Permanent
06/09/2020,07/09/2020,06/23/2020,"Synapse Financial Technologies, Inc",San Francisco,San Francisco County,63,Layoff Permanent
06/23/2020,06/14/2020,06/23/2020,"Eaton - Joslyn Sunbank Co., LLC",Paso Robles,San Luis Obispo County,1,Layoff Temporary
05/26/2020,06/01/2020,06/22/2020,Princess Cruise Lines Ltd,Santa Clarita,Los Angeles County,601,Layoff Permanent
06/08/2020,06/15/2020,06/22/2020,Sunroad Bcv Auto Inc,El Cajon,San Diego County,1,Layoff Permanent
05/27/2020,05/15/2020,06/22/2020,nVent Thermal LLC,Redwood City,San Mateo County,50,Layoff Temporary
04/14/2020,03/27/2020,06/22/2020,Sysco Sacramento,Pleasant Grove,Sutter County,93,Layoff Temporary
04/14/2020,03/27/2020,06/22/2020,Sysco Sacramento,Pleasant Grove,Sutter County,95,Layoff Temporary
06/11/2020,06/12/2020,06/22/2020,Guhring Inc,Huntington Beach,Orange County,10,Closure Permanent
06/05/2020,03/17/2020,06/22/2020,"Decker Electric Co., Inc.",Petaluma,Sonoma County,4,Layoff Temporary
04/29/2020,05/13/2020,06/19/2020,"Sunroad KM Chevrolet, LLC. - Kearny Mesa Chevrolet",San Diego,San Diego County,6,Layoff Permanent
04/29/2020,05/13/2020,06/19/2020,Sunroad MV Auto Inc./San Diego Chrysler Dodge Jeep Ram,San Diego,San Diego County,8,Layoff Permanent
04/06/2020,04/07/2020,06/18/2020,"Four Seasons Hotels Corporate Services, Inc dba Four Seasons Resort
Bora Bora",Beverly Hills,Los Angeles County,3,Layoff Temporary
06/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,1,Layoff Temporary
06/08/2020,06/30/2020,06/18/2020,Anschutz Entertainment Group Inc,Los Angeles,Los Angeles County,13,Layoff Temporary
06/08/2020,06/30/2020,06/18/2020,Anschutz Entertainment Group Inc,Los Angeles,Los Angeles County,18,Layoff Permanent
05/08/2020,06/30/2020,06/18/2020,AEG Global Partnerships LLC,Los Angeles,Los Angeles County,9,Layoff Permanent
06/09/2020,07/01/2020,06/18/2020,Auctions.com,Irvine,Orange County,67,Layoff Permanent
06/10/2020,06/10/2020,06/18/2020,"Weartech International, Inc.",Anaheim,Orange County,56,Closure Permanent
06/05/2020,07/31/2020,06/18/2020,"Visiting Nurse Association of the Inland Counties, DBA VNA California",Riverside,Riverside County,125,Closure Permanent
06/10/2020,06/10/2020,06/18/2020,P.F. Chang's China Bistro,Sacramento,Sacramento County,63,Closure Temporary
06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,Borrego Springs,San Diego County,6,Layoff Permanent
06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,La Mesa,San Diego County,1,Layoff Permanent
06/05/2020,04/11/2020,06/18/2020,Borrego Community Health Foundation,San Diego,San Diego County,17,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Maderas Partners/Maderas Golf Club,Poway,San Diego County,2,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,PH Automotive Holding Corp Pacific Honda,San Diego,San Diego County,1,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Sunroad Auto LLC Ford and Kia,San Diego,San Diego County,2,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Sunroad Cv Auto Inc Toyota,Chula Vista,San Diego County,2,Layoff Permanent
06/08/2020,06/15/2020,06/18/2020,Sunroad Hs Auto Svc/KM Hyundia Subaru,San Diego,San Diego County,3,Layoff Permanent
06/09/2020,08/09/2020,06/18/2020,"24 Hour Fitness, USA, Inc.",Carlsbad,San Diego County,37,Layoff Permanent
03/20/2020,03/18/2020,06/18/2020,"TLC Cocina LLC, dba The Little Chihuahua",San Francisco,San Francisco County,2,Layoff Permanent
06/05/2020,06/26/2020,06/18/2020,Den-Mat Holdings LLC,Lompoc,Santa Barbara County,6,Layoff Permanent
06/09/2020,06/15/2020,06/18/2020,National University,San Jose,Santa Clara County,6,Layoff Permanent
05/29/2020,06/11/2020,06/18/2020,San Francisco Symphony,San Francisco,San Francisco County,31,Layoff Permanent
05/29/2020,06/11/2020,06/18/2020,San Francisco Symphony,San Francisco,San Francisco County,63,Layoff Temporary
03/28/2020,03/18/2020,06/18/2020,Springhill Suites & Hello Betty,Oceanside,San Diego County,120,Layoff Temporary
05/28/2020,07/31/2020,06/18/2020,"AKQA, Inc.",San Francisco,San Francisco County,64,Layoff Permanent
06/05/2020,03/17/2020,06/18/2020,"Decker Electric Co, Inc.",San Francisco,San Francisco County,10,Layoff Temporary
03/24/2020,03/26/2020,06/17/2020,Frida Restaurant Americana LLC,Glendale,Los Angeles County,94,Closure Unknown at this time
03/31/2020,03/31/2020,06/17/2020,Diamond Bar Health & Fitness LLC,Diamond Bar,Los Angeles County,72,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,Cerritos Fitness & Health LLC,Cerritos,Los Angeles County,30,Layoff Temporary
06/08/2020,06/11/2020,06/17/2020,"Din Tai Fung Restaurant, Inc.,",Arcadia,Los Angeles County,62,Layoff Permanent
05/18/2020,05/18/2020,06/17/2020,"Thales Avionics, Inc.",Irvine,Orange County,681,Layoff Temporary
06/05/2020,06/05/2020,06/17/2020,Alatus Aerosystems,Brea,Orange County,13,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,"Murrieta Fitness & Health, LLC",Murrieta,Riverside County,1,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,"SAS Restaurant Ventures, Inc. DBA Denny's",Big Bear Lake,San Bernardino County,1,Layoff Temporary
03/31/2020,03/31/2020,06/17/2020,Rancho Cucamonga Fitness LLC,Rancho Cucamonga,San Bernardino County,1,Layoff Temporary
06/04/2020,06/05/2020,06/17/2020,Pacific Clinics Advanced Behavioral Healthcare,Ontario,San Bernardino County,1,Layoff Permanent
03/20/2020,03/20/2020,06/17/2020,"Highgate Hotels, L.P. DBA Westin Long Beach",Long Beach,Los Angeles County,151,Layoff Temporary
05/04/2020,05/15/2020,06/17/2020,"United Talent Agency, LLC",Beverly Hills,Los Angeles County,171,Layoff Temporary
05/29/2020,07/31/2020,06/17/2020,Boeing,Huntington Beach,Orange County,86,Layoff Permanent
04/08/2020,04/08/2020,06/17/2020,LB Construction Inc,Roseville,Placer County,1,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"Anschutz Southern Califorina Sports Complex LLC, dba Dignity Health
Sports Park",Carson,Los Angeles County,2,Layoff Permanent
06/08/2020,06/30/2020,06/16/2020,AXS Group LLC,Los Angeles,Los Angeles County,22,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"L.A. Arena Company, LLC,",Los Angeles,Los Angeles County,31,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"L.A. Live Properties, LLC",Los Angeles,Los Angeles County,2,Layoff Temporary
06/08/2020,06/30/2020,06/16/2020,"L.A. Live Theater, LLC",Los Angeles,Los Angeles County,6,Layoff Temporary
06/08/2020,06/15/2020,06/16/2020,"Live Nation Entertainment, Inc. -- Purchasing Department",Los Angeles,Los Angeles County,1,Layoff Temporary
05/08/2020,05/15/2020,06/16/2020,"Live Nation Entertainment, Inc. Corporate Division",Beverly Hills,Los Angeles County,18,Layoff Temporary
05/08/2020,05/15/2020,06/16/2020,"Live Nation Entertainment, Inc. Corporate Division",Los Angeles,Los Angeles County,30,Layoff Temporary
06/05/2020,06/05/2020,06/16/2020,Alatus Aerosystems,Brea,Orange County,13,Layoff Temporary
06/16/2020,06/30/2020,06/16/2020,Test Employer,Sacramento,Sacramento County,147,Layoff Temporary
06/01/2020,06/29/2020,06/16/2020,"John Boyd Enterprises, Inc.",Sacramento,Sacramento County,25,Layoff Permanent
06/08/2020,06/30/2020,06/16/2020,AEG Presents,San Francisco,San Francisco County,5,Layoff Permanent
06/01/2020,06/05/2020,06/16/2020,Stitch Fix,San Francisco,San Francisco County,1420,Layoff Permanent
06/08/2020,06/30/2020,06/16/2020,AEG Presents LLC,Saratoga,Santa Clara County,6,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at Oakland Airport,Oakland,Alameda County,16,Layoff Temporary
04/20/2020,04/01/2020,06/16/2020,Enterprise Holdings at Oakland Airport Service Center,Oakland,Alameda County,5,Layoff Temporary
04/04/2020,03/16/2020,06/16/2020,Highgate Hotels L.P. dba Hotel Figueroa,Los Angeles,Los Angeles County,62,Layoff Temporary
06/03/2020,05/09/2020,06/16/2020,"NBCUniversal Media, LLC",Universal City,Los Angeles County,53,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at San Francisco Airport,San Francisco,San Francisco County,47,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at Downtown San Francisco,San Francisco,San Francisco County,1,Layoff Temporary
04/20/2020,04/01/2020,06/16/2020,Enterprise Holdings at San Francisco Airport Service Center,Burlingame,San Mateo County,9,Layoff Temporary
04/20/2020,03/23/2020,06/16/2020,Enterprise Holdings at San Jose Airport,San Jose,Santa Clara County,22,Layoff Temporary
03/31/2020,03/31/2020,06/16/2020,Enya K Corporation dba Sushi Enya,Los Angeles,Los Angeles County,45,Closure Temporary
03/31/2020,03/31/2020,06/16/2020,Enya K Corporation dba Sushi Enya,Pasadena,Los Angeles County,14,Closure Temporary
06/16/2020,06/16/2020,06/16/2020,Terrietta,Sacramento,Sacramento County,1,Closure Temporary
03/26/2020,03/26/2020,06/16/2020,CYT HQ,El Cajon,San Diego County,49,Layoff Temporary
04/09/2020,04/09/2020,06/16/2020,"CV Automotive Group, Inc.",Chula Vista,San Diego County,28,Layoff Temporary
04/09/2020,03/27/2020,06/16/2020,"CV Automotive Group, Inc. dba Ford of Chula Vista",Chula Vista,San Diego County,11,Layoff Permanent
03/20/2020,03/13/2020,06/16/2020,Sodexo dba Artisan Restaurant Collection at LinkedIn,San Francisco,San Francisco County,86,Layoff Temporary
06/05/2020,03/17/2020,06/16/2020,Decker Electric,San Francisco,San Francisco County,5,Layoff Temporary
06/05/2020,03/17/2020,06/16/2020,"Decker Electric Co, Inc.",San Francisco,San Francisco County,1,Layoff Temporary
04/02/2020,03/20/2020,06/16/2020,Central Coast YMCA,Watsonville,Santa Cruz County,41,Closure Temporary
06/08/2020,06/30/2020,06/15/2020,AEG Anschutz Entertainment Group Inc. DBA AEG Sports,Carson,Los Angeles County,1,Layoff Permanent
06/08/2020,06/30/2020,06/15/2020,AEG AXS Holdco LLC,Los Angeles,Los Angeles County,1,Layoff Permanent
